,dealer_up_card,dealer_up_card_value,dealer_final_hand_value,dealer_busted,dealer_blackjack,dealer_final_hand,player_hand,player_hand_value,player_busted,player_blackjack,player_won,player_stack
0,AD,1,21,False,True,"[<Card.Card object at 0x000001E82201B760>, <Card.Card object at 0x000001E82200CD00>]","[<Card.Card object at 0x000001E822013AC0>, <Card.Card object at 0x000001E822013CA0>]",17,False,False,0,
1,2D,2,18,False,False,"[<Card.Card object at 0x000001E82205EE50>, <Card.Card object at 0x000001E82201F6D0>, <Card.Card object at 0x000001E82201F550>, <Card.Card object at 0x000001E82201FF10>]","[<Card.Card object at 0x000001E822024970>, <Card.Card object at 0x000001E822013B20>]",15,False,False,0,
2,6D,6,19,False,False,"[<Card.Card object at 0x000001E82201F1C0>, <Card.Card object at 0x000001E822026610>, <Card.Card object at 0x000001E822013D30>]","[<Card.Card object at 0x000001E822022130>, <Card.Card object at 0x000001E82205E0D0>]",18,False,False,0,
3,5S,5,18,False,False,"[<Card.Card object at 0x000001E822026FD0>, <Card.Card object at 0x000001E8220247C0>, <Card.Card object at 0x000001E822022250>]","[<Card.Card object at 0x000001E822022A90>, <Card.Card object at 0x000001E822024220>]",14,False,False,0,
4,4S,4,21,False,False,"[<Card.Card object at 0x000001E80FC5A7C0>, <Card.Card object at 0x000001E82201FD60>, <Card.Card object at 0x000001E82205E2E0>]","[<Card.Card object at 0x000001E822024D00>, <Card.Card object at 0x000001E822013F70>]",20,False,False,0,
5,JH,10,21,False,True,"[<Card.Card object at 0x000001E8220248E0>, <Card.Card object at 0x000001E82201F460>]","[<Card.Card object at 0x000001E8220132B0>, <Card.Card object at 0x000001E82201FDC0>]",21,False,True,0,
6,4D,4,17,False,False,"[<Card.Card object at 0x000001E82201B0A0>, <Card.Card object at 0x000001E82201B8E0>, <Card.Card object at 0x000001E822022970>, <Card.Card object at 0x000001E82201BBE0>, <Card.Card object at 0x000001E82205EF10>, <Card.Card object at 0x000001E822024F10>]","[<Card.Card object at 0x000001E82205E040>, <Card.Card object at 0x000001E82200CB50>]",16,False,False,0,
7,4H,4,21,False,False,"[<Card.Card object at 0x000001E8220134C0>, <Card.Card object at 0x000001E822024DF0>, <Card.Card object at 0x000001E8220265B0>]","[<Card.Card object at 0x000001E822013760>, <Card.Card object at 0x000001E822013B80>, <Card.Card object at 0x000001E822024760>]",17,False,False,0,
8,9C,9,17,False,False,"[<Card.Card object at 0x000001E8220138B0>, <Card.Card object at 0x000001E82205EAF0>]","[<Card.Card object at 0x000001E8220245E0>, <Card.Card object at 0x000001E822026970>]",15,False,False,0,
9,8H,8,18,False,False,"[<Card.Card object at 0x000001E822026D30>, <Card.Card object at 0x000001E82201D9A0>]","[<Card.Card object at 0x000001E82201B5E0>, <Card.Card object at 0x000001E82200CC10>]",18,False,False,0,
10,JS,10,20,False,False,"[<Card.Card object at 0x000001E82201FB80>, <Card.Card object at 0x000001E82201B280>]","[<Card.Card object at 0x000001E822022730>, <Card.Card object at 0x000001E82201DDC0>]",16,False,False,0,
11,4D,4,18,False,False,"[<Card.Card object at 0x000001E82201BE80>, <Card.Card object at 0x000001E82201D5B0>, <Card.Card object at 0x000001E82205E1C0>, <Card.Card object at 0x000001E8220133D0>]","[<Card.Card object at 0x000001E822024B80>, <Card.Card object at 0x000001E82200CB20>]",17,False,False,0,
12,5C,5,17,False,False,"[<Card.Card object at 0x000001E82205E070>, <Card.Card object at 0x000001E82201F040>, <Card.Card object at 0x000001E82205EBE0>, <Card.Card object at 0x000001E82205ED90>]","[<Card.Card object at 0x000001E82201FC10>, <Card.Card object at 0x000001E82201D700>, <Card.Card object at 0x000001E82205EDF0>]",21,False,False,1,
13,3C,3,23,True,False,"[<Card.Card object at 0x000001E8220747F0>, <Card.Card object at 0x000001E82205E100>, <Card.Card object at 0x000001E82201BCA0>]","[<Card.Card object at 0x000001E8220224C0>, <Card.Card object at 0x000001E822003640>]",15,False,False,0,
